amount,location,transactions_last_hour,is_new_device,is_new_location,fraud
22163.77,Guntur,3,1,0,0
14260.94,Chennai,10,1,0,1
33672.5,Hyderabad,3,0,0,0
2406.06,Pune,7,0,1,0
44318.23,Delhi,9,0,1,1
20042.68,Pune,2,0,0,0
11020.17,Chennai,8,1,0,1
45881.75,Delhi,1,1,0,0
33412.13,Pune,8,1,1,1
41545.4,Delhi,8,1,0,1
22558.48,Chennai,3,1,1,1
13802.41,Bangalore,1,1,0,0
16858.79,Vijayawada,8,0,0,0
11639.95,Pune,2,0,0,0
20439.21,Hyderabad,8,1,1,1
10421.04,Pune,6,1,0,1
23901.29,Pune,5,1,1,1
26957.21,Chennai,8,0,1,1
13719.47,Mumbai,7,0,1,1
33476.79,Vijayawada,6,0,1,1
49038.03,Hyderabad,8,0,1,1
4288.98,Vijayawada,6,0,1,0
2609.2,Delhi,6,1,0,0
16409.61,Bangalore,6,1,1,1
41762.05,Mumbai,7,0,0,0
11288.69,Chennai,1,0,0,0
10048.1,Vijayawada,0,0,0,0
23730.7,Bangalore,1,0,1,0
38368.22,Bangalore,2,0,0,0
5494.13,Pune,0,1,1,0
47079.38,Guntur,3,0,0,0
34889.93,Mumbai,4,0,0,0
26683.99,Mumbai,10,1,0,1
731.34,Pune,6,1,0,0
48043.3,Pune,10,1,0,1
8889.23,Delhi,8,1,1,1
21835.17,Chennai,9,1,1,1
41553.48,Chennai,1,1,1,1
37548.77,Hyderabad,9,1,1,1
24765.89,Chennai,5,0,1,1
17805.77,Bangalore,4,1,1,1
27833.97,Chennai,8,0,0,0
36031.73,Delhi,7,0,1,1
22463.91,Chennai,0,0,1,0
20279.62,Delhi,3,1,1,1
27718.3,Mumbai,5,1,1,1
35172.46,Chennai,4,1,1,1
6120.73,Vijayawada,3,1,0,0
9657.89,Guntur,7,1,1,1
41648.16,Vijayawada,4,0,1,0
15183.15,Hyderabad,8,0,1,1
48717.32,Delhi,8,1,0,1
5219.12,Delhi,0,1,1,0
22079.39,Delhi,2,0,1,0
5792.95,Guntur,1,1,1,0
28893.36,Vijayawada,10,0,0,0
40575.99,Guntur,4,0,0,0
27947.84,Delhi,6,0,1,1
45434.37,Hyderabad,4,1,1,1
30520.58,Bangalore,1,0,0,0
33055.36,Guntur,2,0,0,0
7910.98,Bangalore,6,1,1,1
1728.73,Guntur,4,1,1,0
34400.51,Guntur,4,0,1,0
27273.66,Vijayawada,10,0,1,1
3663.35,Delhi,2,1,1,0
6305.25,Delhi,4,1,1,0
21944.17,Mumbai,9,0,1,1
30225.31,Hyderabad,0,0,0,0
49978.66,Vijayawada,10,1,0,1
23577.99,Vijayawada,10,1,1,1
49847.58,Delhi,6,1,0,1
17463.26,Vijayawada,5,1,0,1
16557.2,Hyderabad,7,1,1,1
22795.81,Guntur,5,1,1,1
48512.22,Pune,6,0,1,1
2804.78,Delhi,8,1,1,1
38023.53,Bangalore,3,1,0,0
21961.99,Chennai,7,0,0,0
35518.16,Guntur,4,0,1,0
11312.56,Vijayawada,1,1,0,0
24968.94,Delhi,4,1,1,1
49014.21,Pune,3,1,0,0
9611.46,Bangalore,9,0,0,0
38656.49,Hyderabad,6,1,1,1
14213.67,Delhi,4,1,0,0
26975.17,Delhi,5,1,1,1
46649.33,Chennai,3,0,1,0
42815.05,Delhi,6,0,1,1
35290.87,Delhi,6,1,0,1
48244.74,Delhi,2,1,0,0
5075.61,Pune,7,0,0,0
43559.56,Bangalore,2,0,1,0
16994.21,Pune,6,0,1,1
47711.57,Guntur,10,1,0,1
11815.04,Guntur,10,1,0,1
21755.18,Vijayawada,1,0,1,0
34730.66,Hyderabad,0,0,1,0
14739.05,Chennai,5,1,0,1
26605.2,Vijayawada,9,0,0,0
4040.52,Vijayawada,6,0,1,0
11686.2,Bangalore,10,1,1,1
33375.35,Guntur,7,1,0,1
22142.32,Bangalore,5,1,1,1
22896.11,Delhi,4,0,1,0
5422.0,Bangalore,6,1,1,1
1194.79,Hyderabad,10,1,1,1
28339.86,Bangalore,10,0,1,1
38809.47,Chennai,3,1,0,0
31082.47,Hyderabad,10,0,0,0
15515.75,Vijayawada,7,0,1,1
4597.66,Vijayawada,4,1,1,0
10119.66,Vijayawada,8,1,1,1
12922.81,Guntur,7,1,1,1
23469.74,Pune,1,0,0,0
48366.76,Pune,8,1,0,1
794.54,Mumbai,8,0,1,0
33674.14,Mumbai,10,1,1,1
5506.47,Mumbai,3,1,0,0
45771.27,Bangalore,3,0,1,0
32497.05,Hyderabad,1,0,0,0
15287.79,Chennai,7,0,0,0
44374.24,Mumbai,2,1,1,1
33557.26,Pune,8,1,0,1
32780.6,Hyderabad,7,1,1,1
34545.01,Chennai,3,1,1,1
42786.96,Hyderabad,1,1,1,1
19967.17,Guntur,3,0,1,0
33172.16,Mumbai,10,0,0,0
12254.09,Chennai,2,0,0,0
29360.52,Hyderabad,3,1,0,0
13936.01,Vijayawada,2,0,1,0
5585.32,Mumbai,0,0,0,0
39520.23,Vijayawada,3,1,0,0
13341.84,Guntur,2,1,0,0
23864.67,Chennai,5,0,1,1
47276.24,Hyderabad,0,1,1,1
3135.19,Guntur,7,1,1,1
24564.42,Mumbai,7,0,0,0
30454.04,Mumbai,1,0,1,0
19107.13,Pune,9,1,1,1
5049.01,Delhi,1,0,1,0
44415.74,Pune,6,1,1,1
20857.88,Mumbai,1,1,1,1
33288.88,Guntur,5,0,1,1
4652.12,Guntur,1,0,1,0
37254.99,Mumbai,5,0,0,0
33533.66,Hyderabad,6,1,1,1
48423.09,Guntur,9,1,1,1
28938.13,Chennai,3,0,1,0
42379.01,Bangalore,5,1,0,1
28747.59,Hyderabad,6,0,1,1
9102.76,Hyderabad,4,1,1,0
9152.14,Vijayawada,2,1,0,0
37074.36,Pune,0,0,0,0
21049.64,Bangalore,5,0,1,1
36107.64,Vijayawada,9,0,0,0
7954.75,Bangalore,9,0,0,0
22211.34,Pune,6,1,1,1
13731.03,Pune,8,0,1,1
5633.4,Hyderabad,10,1,1,1
11103.87,Chennai,9,0,0,0
15140.83,Bangalore,3,0,1,0
16473.31,Vijayawada,0,1,1,1
6546.37,Guntur,8,0,1,0
19913.85,Delhi,0,1,0,0
46066.01,Pune,5,1,1,1
14546.81,Vijayawada,6,0,1,1
40085.98,Guntur,9,1,1,1
21891.92,Pune,1,0,1,0
26245.73,Chennai,6,1,1,1
16720.12,Chennai,2,0,0,0
45305.54,Chennai,5,1,0,1
5229.95,Vijayawada,4,0,0,0
38034.74,Delhi,10,0,0,0
23251.26,Mumbai,9,1,1,1
7632.77,Bangalore,1,1,1,0
39836.85,Guntur,9,0,1,1
15589.35,Mumbai,7,0,0,0
41601.66,Delhi,1,0,1,0
29058.44,Mumbai,0,1,0,0
30289.79,Delhi,8,0,0,0
5264.74,Hyderabad,5,0,0,0
12462.41,Mumbai,7,1,0,1
18705.31,Mumbai,4,1,1,1
33977.0,Mumbai,0,1,0,0
4815.85,Bangalore,10,1,1,1
36214.31,Guntur,10,0,1,1
29178.7,Pune,2,1,1,1
6534.69,Mumbai,1,1,1,0
40677.92,Mumbai,10,0,1,1
1009.7,Mumbai,4,0,0,0
47388.65,Vijayawada,7,0,0,0
7831.76,Mumbai,4,0,0,0
43832.0,Vijayawada,9,0,1,1
8196.14,Hyderabad,9,0,1,0
20601.84,Bangalore,10,0,1,1
37644.32,Bangalore,7,0,0,0
48283.27,Delhi,7,0,1,1
23137.83,Vijayawada,4,1,1,1
40862.87,Hyderabad,9,0,1,1
32094.83,Bangalore,5,0,0,0
4285.37,Vijayawada,2,1,1,0
41569.23,Mumbai,1,0,1,0
46530.55,Mumbai,6,0,1,1
11865.33,Hyderabad,1,1,0,0
16002.38,Vijayawada,1,1,0,0
2011.33,Delhi,7,0,1,0
30805.88,Chennai,1,0,1,0
41764.66,Bangalore,8,1,0,1
11958.25,Pune,1,0,0,0
31983.69,Guntur,9,1,0,1
41850.72,Vijayawada,7,0,0,0
14634.47,Pune,0,1,0,0
9446.96,Guntur,10,0,1,0
47674.84,Delhi,8,0,1,1
2272.37,Hyderabad,6,1,1,1
17918.98,Guntur,1,1,0,0
38597.92,Mumbai,5,0,0,0
27346.09,Delhi,10,0,1,1
31623.62,Hyderabad,2,0,1,0
14742.78,Mumbai,0,0,0,0
46675.21,Bangalore,8,1,1,1
1927.38,Mumbai,10,0,1,0
43120.71,Guntur,0,1,1,1
39987.19,Pune,6,1,1,1
17017.93,Mumbai,2,1,1,1
46223.09,Pune,8,1,0,1
4038.46,Mumbai,9,0,1,0
5219.64,Delhi,5,1,1,1
30170.82,Mumbai,6,0,1,1
22411.77,Hyderabad,5,1,1,1
3844.55,Vijayawada,10,1,1,1
47644.19,Vijayawada,2,1,0,0
3454.94,Pune,10,1,1,1
47478.41,Mumbai,0,0,1,0
18663.47,Pune,1,0,1,0
15787.83,Hyderabad,4,0,0,0
36810.18,Bangalore,7,1,0,1
38770.73,Delhi,7,0,1,1
10088.9,Vijayawada,2,0,1,0
44944.08,Mumbai,7,0,1,1
35506.07,Vijayawada,8,1,1,1
35619.27,Chennai,10,0,1,1
6155.99,Delhi,3,0,0,0
1411.57,Vijayawada,8,1,1,1
30636.22,Pune,1,0,1,0
49979.79,Guntur,7,1,1,1
6353.81,Delhi,5,0,1,0
34037.44,Vijayawada,5,0,0,0
21687.65,Bangalore,0,0,0,0
8316.39,Bangalore,5,0,1,0
42312.09,Vijayawada,4,0,1,0
31288.62,Vijayawada,9,0,0,0
8642.91,Hyderabad,9,1,0,0
4153.02,Pune,10,1,0,0
30943.61,Bangalore,0,1,1,1
24198.95,Delhi,10,1,1,1
3741.35,Pune,0,0,1,0
24264.13,Mumbai,3,1,0,0
43088.11,Vijayawada,5,1,1,1
38057.18,Chennai,8,0,1,1
23376.98,Vijayawada,4,1,0,0
4930.9,Chennai,4,1,1,0
48138.02,Chennai,2,1,1,1
38179.76,Bangalore,7,1,1,1
24918.78,Chennai,1,1,1,1
10835.71,Bangalore,5,0,0,0
24795.22,Hyderabad,10,1,1,1
42373.9,Mumbai,6,0,1,1
38216.45,Hyderabad,5,0,1,1
28557.05,Guntur,3,1,1,1
19378.81,Vijayawada,7,1,0,1
48756.63,Mumbai,6,1,1,1
37772.76,Hyderabad,3,1,0,0
2041.81,Vijayawada,5,1,1,1
30352.4,Mumbai,8,0,1,1
8208.85,Delhi,9,1,1,1
35466.12,Mumbai,4,1,0,0
16628.86,Hyderabad,1,1,1,1
29885.79,Delhi,4,0,0,0
8608.55,Chennai,10,1,0,0
1675.37,Delhi,1,0,0,0
15753.25,Pune,2,1,0,0
25140.79,Vijayawada,9,1,0,1
25982.29,Pune,8,1,1,1
15756.25,Mumbai,2,1,1,1
33825.84,Chennai,10,1,1,1
47871.14,Bangalore,4,1,0,0
38581.6,Delhi,3,1,1,1
17505.28,Pune,4,1,0,0
44798.45,Bangalore,6,1,0,1
2199.12,Bangalore,1,1,1,0
37392.19,Bangalore,3,0,1,0
6949.92,Hyderabad,9,0,0,0
33524.71,Hyderabad,8,0,0,0
5099.88,Vijayawada,5,1,0,0
358.55,Delhi,8,0,1,0
23924.68,Bangalore,3,1,1,1
32330.31,Vijayawada,1,0,0,0
20952.46,Delhi,2,0,1,0
9396.95,Bangalore,4,0,0,0
28441.3,Delhi,1,1,1,1
49456.06,Delhi,8,1,0,1
13714.57,Delhi,1,1,0,0
32449.44,Bangalore,2,0,1,0
28432.28,Pune,3,0,1,0
25812.5,Vijayawada,1,1,0,0
49086.09,Hyderabad,7,1,0,1
13113.19,Mumbai,3,1,1,1
15167.1,Mumbai,9,0,1,1
34669.15,Bangalore,0,0,1,0
8069.87,Bangalore,10,1,0,0
18440.44,Delhi,3,0,0,0
7743.96,Delhi,9,1,1,1
37891.79,Guntur,10,0,0,0
26322.78,Guntur,8,1,0,1
3181.73,Vijayawada,8,0,0,0
16473.07,Chennai,8,1,0,1
35874.21,Hyderabad,7,0,1,1
22726.27,Hyderabad,8,1,1,1
27983.98,Pune,10,1,0,1
12797.42,Hyderabad,0,0,0,0
21242.5,Delhi,1,0,0,0
1683.57,Pune,6,0,0,0
18785.6,Pune,6,1,1,1
4104.47,Guntur,10,0,1,0
9005.83,Chennai,8,1,0,0
41757.6,Pune,0,1,1,1
26643.49,Mumbai,3,0,1,0
7840.56,Pune,3,0,0,0
30784.67,Guntur,0,0,0,0
5134.75,Chennai,0,1,0,0
37053.0,Chennai,6,1,0,1
37743.85,Chennai,0,0,1,0
40807.73,Chennai,9,1,1,1
15158.05,Bangalore,2,0,1,0
13830.18,Delhi,8,0,1,1
2439.52,Pune,5,1,1,1
20472.13,Delhi,4,1,0,0
12124.31,Delhi,3,1,0,0
45745.58,Vijayawada,8,1,1,1
19482.11,Guntur,4,0,1,0
46119.08,Hyderabad,5,0,0,0
13496.23,Chennai,10,0,0,0
40252.07,Chennai,9,0,1,1
43486.75,Chennai,5,1,0,1
46864.27,Chennai,1,1,0,0
19891.94,Pune,3,1,1,1
23365.9,Bangalore,10,1,1,1
18046.27,Delhi,7,1,0,1
38105.29,Mumbai,5,0,1,1
20755.12,Hyderabad,9,0,0,0
13112.63,Vijayawada,9,1,1,1
9889.97,Delhi,3,1,0,0
27577.06,Delhi,10,1,1,1
48328.76,Vijayawada,10,1,1,1
36665.33,Delhi,5,0,0,0
9283.98,Guntur,8,0,0,0
47264.89,Pune,10,0,0,0
6960.83,Vijayawada,10,0,0,0
556.16,Hyderabad,8,1,1,1
30929.98,Hyderabad,10,1,1,1
429.96,Hyderabad,8,1,0,0
26517.94,Pune,4,1,0,0
40327.77,Vijayawada,2,0,0,0
12124.34,Bangalore,9,1,1,1
39767.32,Delhi,1,1,1,1
28293.61,Hyderabad,3,1,0,0
4765.68,Hyderabad,6,1,1,1
31873.73,Pune,2,0,1,0
32280.87,Chennai,5,0,0,0
10649.71,Hyderabad,9,1,1,1
46215.55,Vijayawada,10,1,0,1
46445.44,Vijayawada,5,0,0,0
37637.5,Vijayawada,6,0,1,1
28241.51,Pune,9,1,1,1
37804.9,Hyderabad,2,0,1,0
4974.52,Pune,3,0,1,0
48449.13,Delhi,5,0,1,1
24581.11,Vijayawada,5,1,1,1
34016.77,Bangalore,10,1,0,1
39922.95,Vijayawada,1,0,1,0
19062.0,Mumbai,10,0,1,1
18098.94,Delhi,1,0,1,0
18059.88,Guntur,4,0,0,0
9450.85,Hyderabad,7,1,0,0
4571.98,Pune,8,0,1,0
715.8,Chennai,6,1,0,0
28640.83,Vijayawada,2,1,0,0
13519.06,Guntur,4,1,0,0
8443.65,Delhi,4,1,1,0
39155.06,Delhi,5,1,0,1
29730.94,Vijayawada,3,1,0,0
15302.43,Mumbai,6,1,1,1
22067.12,Mumbai,6,0,1,1
30200.24,Vijayawada,3,1,1,1
48232.27,Chennai,5,1,1,1
16361.72,Guntur,4,1,1,1
46610.15,Delhi,3,0,0,0
47154.45,Guntur,3,1,1,1
40966.38,Bangalore,6,1,0,1
12176.86,Pune,10,0,1,1
3790.86,Pune,9,1,1,1
27227.9,Chennai,5,0,0,0
32914.32,Pune,5,0,0,0
48343.88,Hyderabad,5,1,0,1
5020.47,Mumbai,3,0,1,0
19617.6,Hyderabad,10,0,1,1
24190.28,Guntur,4,1,0,0
41582.76,Mumbai,2,1,1,1
22821.1,Delhi,3,1,1,1
4971.39,Bangalore,7,1,0,0
2329.68,Guntur,1,0,1,0
33889.25,Vijayawada,2,0,0,0
16616.38,Pune,6,1,0,1
31525.04,Hyderabad,2,1,1,1
36895.68,Pune,3,1,1,1
322.06,Guntur,3,0,1,0
28909.66,Mumbai,8,0,1,1
9934.01,Mumbai,1,1,1,0
29888.84,Mumbai,9,1,0,1
17664.05,Guntur,7,0,1,1
33638.29,Bangalore,5,0,0,0
5935.75,Pune,5,0,1,0
29861.65,Vijayawada,9,1,1,1
24384.84,Delhi,8,0,0,0
14512.86,Hyderabad,2,1,1,1
43289.56,Chennai,0,1,0,0
40779.28,Delhi,8,1,1,1
20839.96,Guntur,7,1,0,1
28313.35,Bangalore,3,1,0,0
11319.69,Delhi,4,0,1,0
27531.34,Mumbai,1,0,1,0
27147.96,Pune,0,1,0,0
5210.58,Hyderabad,10,0,1,0
22541.64,Guntur,5,0,1,1
38804.02,Pune,3,0,1,0
8382.48,Hyderabad,2,0,0,0
28546.71,Mumbai,8,1,0,1
48952.11,Guntur,4,1,1,1
6865.89,Vijayawada,6,0,1,0
35101.18,Mumbai,2,0,0,0
41441.24,Vijayawada,10,1,1,1
28913.53,Delhi,4,1,1,1
3868.26,Mumbai,1,1,1,0
22789.31,Guntur,7,1,0,1
36573.5,Pune,7,1,0,1
10969.71,Bangalore,6,0,1,1
16210.97,Delhi,4,1,0,0
39436.35,Guntur,10,0,0,0
31346.36,Vijayawada,7,0,0,0
22120.17,Vijayawada,0,1,0,0
44119.17,Guntur,4,0,1,0
32763.94,Vijayawada,4,0,1,0
2684.19,Pune,10,1,0,0
32808.71,Delhi,1,0,0,0
3989.14,Hyderabad,9,0,1,0
502.32,Vijayawada,5,0,1,0
23937.24,Guntur,3,1,0,0
5249.76,Pune,5,1,0,0
38695.68,Hyderabad,2,0,0,0
30554.93,Chennai,2,1,1,1
31441.19,Chennai,2,1,1,1
4425.73,Pune,1,0,0,0
17641.63,Chennai,6,1,0,1
13920.69,Hyderabad,1,0,1,0
42409.82,Chennai,10,1,0,1
37417.4,Delhi,4,0,0,0
19355.69,Hyderabad,3,1,0,0
49345.44,Pune,5,0,1,1
18334.08,Guntur,10,0,1,1
932.8,Chennai,1,0,1,0
2087.36,Pune,0,1,1,0
21236.4,Bangalore,6,0,0,0
4271.49,Mumbai,1,0,0,0
19597.5,Pune,10,0,1,1
36524.92,Guntur,3,0,0,0
46238.92,Bangalore,1,1,0,0
33337.37,Hyderabad,10,0,0,0
35424.24,Mumbai,0,0,1,0
26197.97,Vijayawada,4,0,1,0
37513.84,Mumbai,4,0,0,0
40374.68,Guntur,4,0,1,0
24857.76,Delhi,8,1,0,1
42982.05,Bangalore,2,1,0,0
38689.11,Hyderabad,9,0,0,0
2297.49,Delhi,0,0,0,0
18262.43,Pune,2,0,0,0
11303.31,Bangalore,3,1,1,1
41317.25,Hyderabad,9,1,0,1
9049.28,Guntur,8,0,1,0
43861.86,Guntur,4,1,1,1
27699.26,Bangalore,0,1,0,0
28233.96,Mumbai,4,0,1,0
29625.38,Vijayawada,7,0,0,0
418.26,Mumbai,6,0,0,0
31833.5,Pune,0,1,0,0
42465.4,Chennai,4,0,0,0
21048.81,Guntur,0,0,1,0
2290.62,Delhi,3,1,1,0
48730.28,Pune,1,0,0,0
3834.04,Vijayawada,9,0,1,0
11914.91,Mumbai,4,1,1,1
15971.08,Chennai,4,0,0,0
6891.98,Guntur,9,0,0,0
8302.31,Guntur,7,1,1,1
26842.63,Delhi,3,1,1,1
13323.9,Bangalore,1,0,0,0
41336.7,Mumbai,9,0,0,0
7501.36,Hyderabad,3,1,1,0
33891.45,Pune,4,0,0,0
42744.61,Delhi,8,0,0,0
5185.18,Hyderabad,2,0,0,0
41535.58,Pune,3,0,0,0
18674.76,Guntur,10,0,1,1
1187.83,Vijayawada,1,0,1,0
4689.73,Delhi,5,0,0,0
2626.82,Delhi,9,1,1,1
1571.17,Mumbai,10,1,0,0
10814.33,Delhi,2,1,1,1
44182.85,Delhi,0,0,1,0
20658.41,Guntur,8,1,0,1
14060.82,Chennai,2,1,0,0
31574.64,Mumbai,8,0,1,1
24036.25,Pune,7,1,1,1
13594.74,Hyderabad,0,1,0,0
44798.66,Mumbai,4,0,1,0
38365.42,Chennai,3,0,0,0
32877.53,Pune,4,0,0,0
17804.75,Mumbai,2,0,0,0
40329.89,Vijayawada,5,0,1,1
28199.13,Vijayawada,3,1,1,1
24572.78,Chennai,1,0,0,0
1094.41,Chennai,7,0,1,0
40341.63,Hyderabad,5,0,1,1
1193.45,Mumbai,9,0,0,0
48031.88,Mumbai,5,1,0,1
15158.08,Delhi,2,0,1,0
32494.1,Vijayawada,2,1,0,0
18981.37,Hyderabad,4,0,0,0
47444.53,Vijayawada,9,1,0,1
30159.19,Delhi,9,0,0,0
7118.1,Mumbai,1,0,1,0
8477.58,Hyderabad,1,1,1,0
13334.1,Bangalore,3,0,1,0
39372.3,Delhi,0,0,1,0
36655.97,Pune,2,1,1,1
17626.44,Chennai,6,0,1,1
8216.56,Hyderabad,1,0,1,0
16003.97,Vijayawada,1,0,1,0
44407.77,Mumbai,2,0,0,0
29742.12,Pune,9,1,0,1
47127.87,Hyderabad,2,1,0,0
5152.76,Bangalore,3,0,1,0
33063.83,Hyderabad,4,0,0,0
19705.82,Hyderabad,8,1,0,1
18105.36,Delhi,6,0,1,1
10063.77,Bangalore,0,0,0,0
48855.18,Pune,7,0,1,1
23600.13,Pune,10,1,0,1
9325.57,Delhi,6,1,0,0
2326.38,Chennai,7,1,1,1
41870.23,Guntur,9,0,0,0
4376.79,Hyderabad,5,1,0,0
42055.78,Chennai,8,1,1,1
23865.49,Vijayawada,1,1,0,0
6102.07,Chennai,7,0,0,0
40442.19,Guntur,2,0,1,0
49415.17,Bangalore,6,0,0,0
16055.5,Pune,1,0,1,0
27647.5,Pune,4,1,0,0
5714.69,Guntur,2,0,0,0
28177.92,Pune,1,1,1,1
13280.42,Hyderabad,10,1,1,1
8692.77,Hyderabad,6,0,1,0
19850.06,Delhi,5,0,0,0
46049.67,Bangalore,5,0,1,1
15616.37,Vijayawada,7,0,0,0
15093.97,Pune,7,1,1,1
30288.46,Chennai,1,0,1,0
45680.3,Hyderabad,6,1,1,1
25811.96,Pune,2,0,1,0
6868.93,Chennai,8,0,0,0
43771.51,Hyderabad,3,0,0,0
22876.79,Mumbai,5,0,1,1
41192.96,Hyderabad,8,1,0,1
12172.71,Delhi,7,1,0,1
29385.32,Bangalore,5,1,0,1
37473.16,Pune,1,1,0,0
2577.59,Chennai,9,0,0,0
33916.99,Hyderabad,4,1,0,0
23757.45,Chennai,2,0,0,0
12694.28,Pune,4,1,1,1
42594.15,Delhi,7,1,0,1
15177.04,Hyderabad,8,1,0,1
25624.53,Bangalore,10,1,1,1
34252.22,Bangalore,7,0,1,1
32065.68,Chennai,4,1,1,1
7581.47,Mumbai,3,0,1,0
34069.71,Bangalore,0,1,1,1
45354.89,Chennai,6,1,0,1
17224.04,Bangalore,3,1,1,1
42286.42,Guntur,10,0,1,1
23591.97,Guntur,4,0,1,0
11190.45,Mumbai,3,1,1,1
18646.95,Guntur,9,1,1,1
23579.77,Chennai,10,0,1,1
25073.82,Pune,10,1,1,1
2797.69,Mumbai,2,0,0,0
20518.67,Mumbai,9,1,0,1
43133.46,Mumbai,2,0,1,0
31588.54,Hyderabad,2,1,0,0
22657.46,Delhi,3,0,0,0
39282.02,Pune,1,0,1,0
20229.33,Hyderabad,7,1,0,1
26735.75,Chennai,5,0,1,1
994.01,Mumbai,0,0,0,0
15673.4,Vijayawada,1,1,1,1
3357.82,Delhi,0,1,1,0
36418.81,Vijayawada,9,1,1,1
17202.37,Vijayawada,7,1,0,1
47409.41,Chennai,6,0,0,0
36385.72,Vijayawada,2,0,0,0
6245.78,Bangalore,10,0,1,0
38585.36,Guntur,9,0,0,0
32713.02,Pune,0,0,0,0
22271.28,Vijayawada,1,1,1,1
10354.2,Pune,10,0,1,1
33117.06,Pune,10,1,0,1
41549.57,Guntur,1,0,1,0
39259.53,Bangalore,7,0,0,0
41591.79,Bangalore,3,1,1,1
8102.64,Delhi,8,1,0,0
16597.12,Guntur,0,0,0,0
41778.09,Guntur,10,1,0,1
38998.36,Chennai,1,0,1,0
22891.89,Hyderabad,4,1,1,1
5080.46,Mumbai,2,0,1,0
40099.65,Guntur,5,1,0,1
42577.17,Vijayawada,0,0,0,0
16500.18,Mumbai,7,1,0,1
40766.72,Pune,2,0,1,0
48119.27,Pune,4,1,1,1
32477.44,Hyderabad,2,0,0,0
49080.3,Delhi,2,0,1,0
40133.01,Pune,10,1,0,1
38980.3,Delhi,9,0,0,0
46027.86,Hyderabad,1,1,1,1
3260.47,Chennai,10,1,0,0
48896.99,Pune,10,1,0,1
33119.49,Pune,3,1,1,1
7517.86,Vijayawada,8,0,0,0
25327.82,Guntur,7,1,0,1
37596.36,Bangalore,5,0,1,1
2612.5,Chennai,3,1,1,0
4033.65,Delhi,7,1,0,0
22408.7,Guntur,1,1,0,0
20231.64,Bangalore,0,0,0,0
44516.53,Mumbai,8,0,1,1
18230.79,Mumbai,0,0,1,0
28051.53,Delhi,9,1,1,1
5789.77,Mumbai,10,0,0,0
17821.44,Guntur,10,1,1,1
2384.33,Pune,2,1,0,0
5437.38,Guntur,9,0,0,0
